variable,label,N,mean,sd,p25,median,p75,min,max
trades,Platform-week trades,14648,66.57819497542326,155.90042148071768,7.0,19.0,55.0,2.0,1299.079999999998
total_secondary_volume_eth,Platform-week secondary volume (ETH),14648,27.37902926456193,78.89528156646135,1.698904025,4.5860435,15.990306450000002,0.1529156,698.9470397545036
avg_trade_price_eth,Average trade price (ETH),14648,0.6919130121753104,1.5250810594223325,0.10898198413461535,0.24649177104386275,0.6026792727271023,0.0074514617951524,14.300091999999998
royalty_rate_pct,Royalty rate (pct),14648,5.276496697266103,1.7777126823929077,5.0,5.0,5.000000000000001,0.5,10.5
platform_fee_rate_pct,Platform fee rate (pct),14648,0.5343287369523658,0.6041874773861893,0.0003545597173502975,0.3182167502268137,0.8510065592045699,0.0,2.586869347490532
enforcement_credibility,Enforcement credibility,14648,0.3751299661728348,0.343387817572428,0.1,0.2266207551941015,0.5919915093772394,0.0,1.0
effective_total_cost_rate_pct,Effective total cost rate (pct),14648,2.5362286265648137,2.498508063502535,0.6025048675468861,1.5000799820840132,3.999354121823841,0.0,12.500000000000002
share_volume,Volume share,14648,0.5,0.33449927875102053,0.15851136537907815,0.5,0.8414886346209218,0.0014638150989207,0.998536184901079
share_trades,Trade share,14648,0.5010854716002185,0.3303817985192173,0.2,0.5,0.8,1e-06,0.999999
switch_share_volume_ct,Switching share (volume),14648,0.32184439851701746,0.28310454286048986,0.09663370279299344,0.21143717679605029,0.4888430925859342,0.0028770705777754,0.9985361849010792
switch_share_trades_ct,Switching share (trades),14648,0.3258465973511742,0.2802423371076569,0.1,0.2,0.5,1e-06,0.999999
ct_trades_total,Collection-week trades,14648,138.03080283997818,297.31066314868843,27.0,52.0,115.0,10.0,2571.4399999999987
ct_volume_total_eth,Collection-week volume (ETH),14648,57.99454293251025,146.68077701606396,4.8947925,12.6954544,42.61781322500001,2.030987,1281.2846432151755
